age (s),F
0,0
5,0.862956533442387
10,0.967356392535762
15,1.01382147521169
20,0.993498280044071
25,0.987788842410479
30,0.99003213805108
35,1.00464010892551
40,0.998931302884368
45,0.994066342718457
50,1.01323313949571
55,1.00341056280525
60,1.00198894420584
65,1.01668774653437
70,0.991433560749999
75,1.01028800916401
80,1.01014916377108
85,0.995217833879005
90,1.00271286562901
95,0.983034171582522
100,0.982158004746664
105,1.00123190212036
110,1.01116668920408
115,1.01736042736917
120,0.985196248338949
